,countrycode,country,year,rgdpe,pop,emp,hc,ck,rtfpna,delta,rgdpew,const,popgrowth,ck_1,investment,i_y,g,ly,lschool,ls,lngd,ls_lngd,lsch_lngd,t,gt
367,ARG,Argentina,1992,281707.59375,33.655149,12.147103309631348,2.5709738731384277,559911.3125,0.8523393869400024,0.03863128274679184,23191.33924930367,1,0.013704559739135399,669640.1875,131358.96722631482,0.46629544300779013,0.07462005630535973,12.548624910370144,0.9442847660922605,-0.7629358478774415,-2.0639155064419565,-0.7629358478774415,3.008200272534217,41,3.059422308519749
368,ARG,Argentina,1993,325385.65625,34.110912,12.06991958618164,2.58705997467041,669640.1875,0.8837377429008484,0.03867117315530777,26958.3947040145,1,0.013361208284316688,828229.25,184484.83414256526,0.5669728539011629,0.035529042652157845,12.692766392432876,0.9505220860315773,-0.5674438531180374,-2.435414742277662,-0.5674438531180374,3.3859368283092395,42,1.4922197913906294
369,ARG,Argentina,1994,379470.1875,34.558113999999996,12.075872421264648,2.6032464504241943,828229.25,0.9082393646240234,0.039214689284563065,31423.832106058297,1,0.012940578875340166,1053556.875,257806.3776951367,0.67938506419595,0.026977053271983856,12.846531315419782,0.9567593009098713,-0.38656720731250566,-2.536633872853568,-0.38656720731250566,3.493393173763439,43,1.1600132906953058
370,ARG,Argentina,1995,419159.125,34.994817999999995,11.505142211914062,2.619534492492676,1053556.875,0.8839542269706726,0.0381600558757782,36432.32889081049,1,0.012479104763453805,1390282.625,376929.53921831027,0.8992516606153099,-0.027473297725580704,12.94600590007835,0.962996627365884,-0.10619234974109751,-3.765075510056128,-0.10619234974109751,4.728072137422012,44,-1.208825099925551
371,ARG,Argentina,1996,537693.3125,35.419683,11.787109375,2.627023935317993,1390282.625,0.9174463152885437,0.038290441036224365,45617.063131731564,1,0.011995166642231216,1400468.75,63420.65987624973,0.11794950467465547,0.03650577451753957,13.195043625487768,0.9658516219363503,-2.137498672589111,-2.444247945701038,-2.137498672589111,3.4100995676373884,45,1.6427598532892806
372,ARG,Argentina,1997,560207.25,35.833965,12.359204292297363,2.6345345973968506,1400468.75,0.9335137009620667,0.03898235037922859,45327.12921892054,1,0.011561154340581626,1424251.375,78376.18850766029,0.1399057018766899,0.017211729894230924,13.236062083530898,0.9687065430147754,-1.9667866413385935,-2.6918535585311267,-1.9667866413385935,3.660560101545902,46,0.7917395751346225
373,ARG,Argentina,1998,564924.8125,36.241578,12.904006958007812,2.6420669555664062,1424251.375,0.9313505291938782,0.03939492627978325,43779.02261974726,1,0.011247109604333394,1433022.75,64879.65292200493,0.1148465273367771,-0.0023226182842895787,13.244447926052047,0.9715615485369243,-2.1641585868145925,-3.029921778411927,-2.1641585868145925,4.0014833269488514,47,-0.10916305936161019
374,ARG,Argentina,1999,530878.625,36.648053999999995,12.955116271972656,2.649620771408081,1433022.75,0.885291576385498,0.03888050094246864,40978.29875510364,1,0.011091339256376283,1431154.5,53848.39238195401,0.1014325871228174,-0.052026873447086626,13.182288695941683,0.9744165246285889,-2.2883608674340854,,-2.2883608674340854,,48,-2.497289925460158
375,ARG,Argentina,2000,525824.8125,37.057452999999995,13.094141006469727,2.657196044921875,1431154.5,0.8693847060203552,0.038585592061281204,40157.25905503794,1,0.011047683174556022,1412692.125,36759.56871366687,0.06990839503920684,-0.018296699096487658,13.1727233801607,0.9772714483695887,-2.660569536249924,-3.462969296926329,-2.660569536249924,4.440240745295918,49,-0.8965382557278953
376,ARG,Argentina,2001,491117.40625,37.471534999999996,13.046085357666016,2.6830029487609863,1412692.125,0.8355041146278381,0.03793465718626976,37644.810131601225,1,0.011050574789637002,1330856.375,-28245.75852838205,-0.057513250739892816,-0.04055107664862746,13.104438494791617,0.9869366704965493,,-4.775465707028767,,5.762402377525316,50,-2.0275538324313733
377,ARG,Argentina,2002,453929.6875,37.889443,13.007225036621094,2.709059953689575,1330856.375,0.7816914916038513,0.042261261492967606,34898.27278470135,1,0.011029668607163324,1326432.25,51819.544273457956,0.11415764533677467,-0.06884125464072237,13.025697591681352,0.9966016941572802,-2.1701749320180874,,-2.1701749320180874,,51,-3.510903986676841
378,ARG,Argentina,2003,479253.25,38.309475,13.727089881896973,2.735370397567749,1326432.25,0.8086944818496704,0.03983515128493309,34912.95344631131,1,0.010964180532361749,1365802.875,92209.25434796419,0.1924019385324235,0.033390842712388784,13.079984442314213,1.0062668554310845,-1.6481686652689422,-2.474677056589415,-1.6481686652689422,3.4809439120205,52,1.7363238210442167
379,ARG,Argentina,2004,517308.9375,38.728778,14.669195175170898,2.7619361877441406,1365802.875,0.841736912727356,0.03891267627477646,35264.98429686162,1,0.01082665195374869,1437139.125,124483.29513003398,0.24063627381275232,0.03925505746281582,13.15639553305094,1.015931951079418,-1.424468722828778,-2.419181993359522,-1.424468722828778,3.4351139444389402,53,2.0805180455292387
380,ARG,Argentina,2005,556650.375,39.145491,15.337333679199219,2.788760185241699,1437139.125,0.8786798715591431,0.0383177250623703,36293.816555281686,1,0.01064523625466855,1552985.125,170913.90186812542,0.30703994741425517,0.04204370673273186,13.229692628829492,1.0255971190185182,-1.180777417989518,-2.396822499877583,-1.180777417989518,3.422419618896101,54,2.2703601635675206
381,ARG,Argentina,2006,606310.625,39.558749999999996,15.856154441833496,2.7969753742218018,1552985.125,0.9034448266029358,0.0382906012237072,38238.18866195973,1,0.010446715328467065,1646294.5,152774.10912772408,0.25197333318663856,0.027411696115314552,13.315147716234163,1.0285386098270426,-1.37843201775806,-2.5750631653522196,-1.37843201775806,3.6036017751792624,55,1.5076432863423004
382,ARG,Argentina,2007,660317.9375,39.969902999999995,16.441261291503906,2.8052146434783936,1646294.5,0.931652843952179,0.03807081654667854,40162.2433822168,1,0.010286564868571206,1719041.875,135423.15089130588,0.20508779665145152,0.030277390910525746,13.400476721495949,1.0314800577861984,-1.5843171151793238,-2.5429412813730035,-1.5843171151793238,3.574421339159202,56,1.6955338909894417
383,ARG,Argentina,2008,693144.8125,40.381859999999996,16.84196662902832,2.8134782314300537,1719041.875,0.9195887446403503,0.03814268484711647,41155.81201219791,1,0.010201536036230155,1731396.5,77923.49747712119,0.11242022745012059,-0.013119015845008915,13.448994220988434,1.0344215226762827,-2.1855113981926726,-3.3459934003956624,-2.1855113981926726,4.380414923071945,57,-0.7477839031655081
384,ARG,Argentina,2009,692631.9375,40.798640999999996,16.9940128326416,2.8217661380767822,1731396.5,0.9204757809638977,0.03891666233539581,40757.4093488745,1,0.010215560856549127,1773983.75,109967.42295918614,0.15876747375540437,0.0009636715510520902,13.448254022362043,1.037362979010375,-1.840314576366508,-2.9938162155062304,-1.840314576366508,4.031179194516605,58,0.05589294996102123
385,ARG,Argentina,2010,762683.625,41.222874999999995,17.49125862121582,2.830078363418579,1773983.75,0.9714622497558594,0.03916274383664131,43603.70179850361,1,0.010291227868022269,1863171.5,158661.82117161434,0.20803097899422496,0.05248425124576401,13.544598578143432,1.040304401525693,-1.570068272898668,-2.2833883065311165,-1.570068272898668,3.3236927080568095,59,3.0965708235000764
386,ARG,Argentina,2011,842470.6875,41.655615999999995,17.87944984436035,2.8585422039031982,1863171.5,1.0,0.03941665217280388,47119.497234739436,1,0.010388539206814276,1942274.125,152542.60795378126,0.1810657750080845,0.028537750244140625,13.644094148318521,1.0503117759659486,-1.7088949158945914,-2.5466594020013833,-1.7088949158945914,3.596971177967332,60,1.7122650146484375
387,ARG,Argentina,2012,853745.875,42.095223999999995,18.06624412536621,2.8872923851013184,1942274.125,0.9701924324035645,0.03946686163544655,47256.41196231174,1,0.010443179967399623,2041532.375,175913.714149483,0.20604926981285035,-0.03072335611048829,13.65738885823028,1.0603191719992795,-1.5796399649412731,-3.953538704445431,-1.5796399649412731,5.01385787644471,61,-1.8741247227397857
388,ARG,Argentina,2013,875387.3125,42.538304,18.257213592529297,2.9163317680358887,2041532.375,0.9706346988677979,0.040547098964452744,47947.476106551185,1,0.01041602410853056,2148250.75,189496.59024825925,0.21647171205518156,0.00045564666578403037,13.682421710259444,1.070326582721123,-1.5302954003295899,-2.9677520031644318,-1.5302954003295899,4.038078585885555,62,0.028250093278609882
431,ARM,Armenia,1991,18577.361328125,3.5119119999999997,1.833596110343933,2.9629828929901123,31045.291015625,0.5535179972648621,0.04132336005568504,10131.653979479914,1,-0.009334801099799834,30409.033203125,646.6379261721959,0.03480784567575941,-0.14801349616340553,9.829698985496968,1.0861964950310934,-3.357912467158986,,-3.357912467158986,,0,-0.0
432,ARM,Armenia,1992,10650.68359375,3.449497,1.7395167350769043,2.9774558544158936,30409.033203125,0.3350260555744171,0.04064716771245003,6122.783057490466,1,-0.01809394239218056,30072.388671875,899.3965413308833,0.08444495918164956,-0.6521640274092436,9.273379356284233,1.0910691957447591,-2.4716553274843918,,-2.4716553274843918,,1,-0.6521640274092436
433,ARM,Armenia,1993,9477.6357421875,3.3696729999999997,1.7522070407867432,2.9919991493225098,30072.388671875,0.3041716516017914,0.03949451074004173,5408.970242427533,1,-0.02368894548521484,30339.498046875,1454.8036523800765,0.15349858255306806,-0.1014374739070655,9.156690169861122,1.0959417757948473,-1.8740639461794877,,-1.8740639461794877,,2,-0.202874947814131
434,ARM,Armenia,1994,8212.033203125,3.289943,1.7160412073135376,3.0066137313842773,30339.498046875,0.32458484172821045,0.03889264166355133,4785.45221881993,1,-0.02423446242077739,30630.09765625,1470.5828351641248,0.17907658174159727,0.06289015228724684,9.013355821375292,1.1008144392816832,-1.7199417336763079,-2.5568539043554352,-1.7199417336763079,3.6576683436371185,3,0.18867045686174053
435,ARM,Armenia,1995,8609.2138671875,3.223173,1.7047163248062134,3.0212996006011963,30630.09765625,0.3479260802268982,0.03695221617817879,5050.232547146029,1,-0.020715611603845028,30655.34765625,1157.0999901524774,0.1344025143297415,0.06708677453402136,9.060588288629273,1.1056870701457082,-2.0069161432575,-2.485026107622542,-2.0069161432575,3.59071317776825,4,0.2683470981360854
436,ARM,Armenia,1996,9076.71484375,3.173425,1.6371102333068848,3.0366134643554688,30655.34765625,0.37900951504707336,0.035278864204883575,5544.3516625117345,1,-0.015676437918022364,29301.4453125,-272.41649663166027,-0.030012675436117672,0.08201228092206228,9.113467604780322,1.1107429024795241,,-2.286566998320552,,3.397309900800076,5,0.4100614046103114
437,ARM,Armenia,1997,8469.66796875,3.1376519999999997,1.5508642196655273,3.0520050525665283,29301.4453125,0.40674251317977905,0.034012068063020706,5461.256931039805,1,-0.011401200643028698,28409.666015625,104.82345543862903,0.012376335864096387,0.06818318035136833,9.044246586021764,1.1157987689144602,-4.391969027739566,-2.399161548702444,-4.391969027739566,3.5149603176169038,6,0.40909908210821
438,ARM,Armenia,1998,8544.8740234375,3.112958,1.5030962228775024,3.067474365234375,28409.666015625,0.4449438154697418,0.032850172370672226,5684.848310695196,1,-0.007932647983043706,27618.103515625,141.69992560651008,0.016583032730248012,0.08585646313486209,9.053086852718664,1.1208545406762012,-4.099375231029153,-2.2002633018842745,-4.099375231029153,3.3211178425604757,7,0.6009952419440346
439,ARM,Armenia,1999,8559.4560546875,3.09382,1.451136827468872,3.083022356033325,27618.103515625,0.46930789947509766,0.03351312130689621,5898.448645685072,1,-0.006185880238669308,27020.7265625,328.1919002605573,0.03834261174585111,0.05191492415236586,9.054791922103576,1.1259104002670588,-3.2611934230313513,-2.5352467326816814,-3.2611934230313513,3.6611571329487402,8,0.41531939321892686
440,ARM,Armenia,2000,8886.4501953125,3.076098,1.4218798875808716,3.098649024963379,27020.7265625,0.5008445978164673,0.034073784947395325,6249.789643224748,1,-0.005761194864402895,26479.392578125,379.3644416379975,0.042690211873140066,0.06296703304549996,9.092282945650778,1.1309662181044702,-3.153785615162037,-2.393827702178159,-3.153785615162037,3.5247939202826295,9,0.5667032974094997
441,ARM,Armenia,2001,9665.5185546875,3.0600359999999998,1.400268316268921,3.09845232963562,26479.392578125,0.5526772141456604,0.03365952894091606,6902.618906954716,1,-0.00524895785539786,26320.330078125,732.2213808212764,0.07575603695532404,0.09378460881423711,9.17632004304202,1.1309027383204326,-2.580237141988343,-2.1021356773781124,-2.580237141988343,3.233038415698545,10,0.9378460881423711
